Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6671104,2018-02-07 18:24:09,2018-02-05 09:58:12,31190694,6300520188,31190694,202,3127,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671104/SRR6671104.sralite.1,SRX3647797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912423,SAMN08466360,simple,9606,Homo sapiens,GSM2977775,,,,,,,no,,,,,GEO,SRA655472,,public,DA95028EAACE6D6529879945017B893B,672429E5DE81447274B2735B7A731F98
SRR6671105,2018-02-07 18:24:09,2018-02-05 09:57:56,30464411,6153811022,30464411,202,3051,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671105/SRR6671105.sralite.1,SRX3647798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912424,SAMN08466359,simple,9606,Homo sapiens,GSM2977776,,,,,,,no,,,,,GEO,SRA655472,,public,EDD4606413734A4A66AB3F0A245ADE71,0B4D57BBE4238EE779C6ED2A52814F54
SRR6671106,2018-02-07 18:24:09,2018-02-05 09:56:42,26582487,5369662374,26582487,202,2695,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671106/SRR6671106.sralite.1,SRX3647799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912425,SAMN08466358,simple,9606,Homo sapiens,GSM2977777,,,,,,,no,,,,,GEO,SRA655472,,public,06C75C04306AEB99EE59FBA6BDFD1B62,BCA9FF7485F1BE6F5C4F2A2901D5198C
SRR6671107,2018-02-07 18:24:09,2018-02-05 09:56:42,21081615,4258486230,21081615,202,2103,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671107/SRR6671107.sralite.1,SRX3647800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912426,SAMN08466357,simple,9606,Homo sapiens,GSM2977778,,,,,,,no,,,,,GEO,SRA655472,,public,A989C6C61861321C6AA53213876445AE,A92EE3C87299D78C08D051633A972359
SRR6671108,2018-02-07 18:24:09,2018-02-05 09:56:50,25110916,5072405032,25110916,202,2346,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671108/SRR6671108.sralite.1,SRX3647801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912427,SAMN08466356,simple,9606,Homo sapiens,GSM2977779,,,,,,,no,,,,,GEO,SRA655472,,public,1EBD58DDF991EE09400217BDAD36FC0D,CE39AA07F184AC7B5FCBD465E4E97FAE
SRR6671109,2018-02-07 18:24:09,2018-02-05 10:17:11,29543145,5967715290,29543145,202,2757,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671109/SRR6671109.sralite.1,SRX3647802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912428,SAMN08466355,simple,9606,Homo sapiens,GSM2977780,,,,,,,no,,,,,GEO,SRA655472,,public,01DEA6C47225965A00A280C0E0F05C24,00DB6DE57F262C4CCCDEAA0F1C088699
SRR6671110,2018-02-07 18:24:09,2018-02-05 09:59:33,32072702,6478685804,32072702,202,3014,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671110/SRR6671110.sralite.1,SRX3647803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912429,SAMN08466354,simple,9606,Homo sapiens,GSM2977781,,,,,,,no,,,,,GEO,SRA655472,,public,4E7D3C40679A1C677EDFEC62FB047900,BB3AF68CC2A0CA2CBB9010A20F02B6AC
SRR6671111,2018-02-07 18:24:09,2018-02-05 09:57:12,27635811,5582433822,27635811,202,2621,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671111/SRR6671111.sralite.1,SRX3647804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912430,SAMN08466353,simple,9606,Homo sapiens,GSM2977782,,,,,,,no,,,,,GEO,SRA655472,,public,7B3D152B9689A2AE4E6E11DC23D5F56A,0B4430F9536150A14E2351247D62DD50
SRR6671112,2018-02-07 18:24:09,2018-02-05 09:53:53,25355277,5121765954,25355277,202,2389,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671112/SRR6671112.sralite.1,SRX3647805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912431,SAMN08466352,simple,9606,Homo sapiens,GSM2977783,,,,,,,no,,,,,GEO,SRA655472,,public,D6243BD3639892A01AA0111D71F5A33B,A57A255C6CED81955B409F5C42E6CC34
SRR6671113,2018-02-07 18:24:09,2018-02-05 09:54:38,27156644,5485642088,27156644,202,2637,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671113/SRR6671113.sralite.1,SRX3647806,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912432,SAMN08466351,simple,9606,Homo sapiens,GSM2977784,,,,,,,no,,,,,GEO,SRA655472,,public,46DBB5D708BA4CEAFDE4FC8591FA1681,74ABBC6AD569BF3AC7450D2D92D3B431
SRR6671114,2018-02-07 18:24:09,2018-02-05 10:02:37,30711899,6203803598,30711899,202,2975,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671114/SRR6671114.sralite.1,SRX3647807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912433,SAMN08466350,simple,9606,Homo sapiens,GSM2977785,,,,,,,no,,,,,GEO,SRA655472,,public,8EB546B8D5A0F1CC5CACDA9274F8F3D6,03395FD4B945DBBEAA7D3672C9FE476D
SRR6671115,2018-02-07 18:24:09,2018-02-05 09:59:29,32561028,6577327656,32561028,202,3191,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671115/SRR6671115.sralite.1,SRX3647808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912434,SAMN08466349,simple,9606,Homo sapiens,GSM2977786,,,,,,,no,,,,,GEO,SRA655472,,public,9B2C2C019E4EEAF159FDE769F6E7D8F0,053FB7918E79085524D970F89D636F6B
SRR6671116,2018-02-07 18:24:09,2018-02-05 10:22:54,34197925,6907980850,34197925,202,3315,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/671/SRR6671116/SRR6671116.sralite.1,SRX3647809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132172,PRJNA432903,3,432903,SRS2912435,SAMN08466348,simple,9606,Homo sapiens,GSM2977787,,,,,,,no,,,,,GEO,SRA655472,,public,223510B9452BAD709D39ECF737E3F1B4,1448BDE58256D8FB77FD98BF7992E1E4
